date,symbol
2024-09-06,000001
2024-09-06,600519
2024-09-06,000858
2024-09-06,002594
2024-09-06,600036
2024-09-13,000001
2024-09-13,600519
2024-09-13,000858
2024-09-13,002594
2024-09-13,600036
2024-09-20,000001
2024-09-20,600519
2024-09-20,000858
2024-09-20,002594
2024-09-20,600036
2024-09-27,000001
2024-09-27,600519
2024-09-27,000858
2024-09-27,002594
2024-09-27,600036
2024-10-04,000001
2024-10-04,600519
2024-10-04,000858
2024-10-04,002594
2024-10-04,600036
2024-10-11,000001
2024-10-11,600519
2024-10-11,000858
2024-10-11,002594
2024-10-11,600036
2024-10-18,000001
2024-10-18,600519
2024-10-18,000858
2024-10-18,002594
2024-10-18,600036
2024-10-25,000001
2024-10-25,600519
2024-10-25,000858
2024-10-25,002594
2024-10-25,600036
2024-11-01,000001
2024-11-01,600519
2024-11-01,000858
2024-11-01,002594
2024-11-01,600036
2024-11-08,000001
2024-11-08,600519
2024-11-08,000858
2024-11-08,002594
2024-11-08,600036
2024-11-15,000001
2024-11-15,600519
2024-11-15,000858
2024-11-15,002594
2024-11-15,600036
2024-11-22,000001
2024-11-22,600519
2024-11-22,000858
2024-11-22,002594
2024-11-22,600036
2024-11-29,000001
2024-11-29,600519
2024-11-29,000858
2024-11-29,002594
2024-11-29,600036
2024-12-06,000001
2024-12-06,600519
2024-12-06,000858
2024-12-06,002594
2024-12-06,600036
2024-12-13,000001
2024-12-13,600519
2024-12-13,000858
2024-12-13,002594
2024-12-13,600036
2024-12-20,000001
2024-12-20,600519
2024-12-20,000858
2024-12-20,002594
2024-12-20,600036
2024-12-27,000001
2024-12-27,600519
2024-12-27,000858
2024-12-27,002594
2024-12-27,600036
